background,seasons,nsbmd_member,material,texture,width,height,format,role,confidence,center_coverage,projected_area,notes
0,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),74,batt_field04,batt_field01,64,64,256-color,primary,high,1,10750.214,
1,Spring; Autumn (fallback); Winter (fallback),77,batt_field01_1,batt_field01,64,64,256-color,primary,high,1,10750.214,
1,Summer,79,batt_field23d_1,batt_field23d,64,64,256-color,primary,high,1,10750.214,
2,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),84,batt_field04a_1,batt_field04a,64,64,256-color,primary,high,1,10750.214,
3,Spring; Autumn (fallback); Winter (fallback),87,batt_field04b_1,batt_field04b,64,64,256-color,primary,high,1,10750.214,
3,Summer,89,batt_field04d_1,batt_field04d,64,64,256-color,primary,high,1,10750.214,
4,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),94,batt_field05_1,batt_field05,64,64,256-color,primary,high,1,10750.214,
5,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),95,batt_field05_1,batt_field05,64,64,256-color,primary,high,1,10750.214,
6,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),96,batt_field07_1,batt_field07,64,64,256-color,primary,high,1,10750.214,
7,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),98,batt_field08_1,batt_field08,64,64,256-color,primary,high,1,10750.214,
8,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),99,batt_field04,batt_field09,64,64,256-color,primary,high,1,10750.214,
9,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),101,batt_field10_1,batt_field10,64,64,256-color,primary,high,1,10750.214,
10,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),102,batt_field11_1,batt_field11,64,64,256-color,primary,high,1,10750.214,
11,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),103,batt_field04,batt_field14,64,64,256-color,primary,high,1,18144.239,
12,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),105,batt_field15_1,batt_field15,64,64,256-color,primary,high,1,10750.214,
13,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),107,batt_field15_1,batt_field16,64,64,256-color,primary,high,1,10750.214,
14,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),109,batt_field15_1,batt_field17,64,64,256-color,primary,high,1,10750.214,
15,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),111,batt_field15_1,batt_field18,64,64,256-color,primary,high,1,10750.214,
16,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),98,batt_field08_1,batt_field08,64,64,256-color,primary,high,1,10750.214,
17,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),113,batt_field04,batt_field20,64,64,256-color,primary,high,1,18146.811,
18,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),115,batt_field21n_1,batt_field21n,128,64,A3I5,primary,high,1,18334.607,
18,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),115,batt_field21_1,batt_field21,64,64,256-color,primary,high,1,9501.306,
19,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),118,batt_fd_vs3_1,batt_fd_vs3,64,64,256-color,primary,high,1,17206.999,
20,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),120,batt_field04,pkwd_field00a,128,64,256-color,primary,high,0.8,7884.252,
20,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),120,file22Material,pkwd_field00e,32,32,16-color,secondary,medium,0.2,2291.345,
20,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),120,file19Material,pkwd_field00b,32,32,A5I3,primary,high,0.08,1797.039,
21,Spring; Summer (fallback),121,roof_road_1,roof_road,32,32,16-color,primary,high,1,32615.592,
21,Autumn,123,roof_road_1,roof_road,32,32,16-color,primary,high,1,33195.519,
21,Winter,125,roof_road_1,roof_road,32,32,16-color,primary,high,1,32068.216,
22,Spring; Summer (fallback),141,park_ground_1,park_ground,32,32,256-color,primary,high,1,22332.876,
22,Spring; Summer (fallback),141,park_ground2_1,park_ground2,16,16,256-color,primary,high,0.64,14999.279,
22,Autumn,143,park_ground_1,park_ground,32,32,256-color,primary,high,1,22332.876,
22,Autumn,143,park_ground2_1,park_ground2,16,16,256-color,primary,high,0.64,14999.279,
22,Winter,145,park_ground,park_ground,32,32,256-color,primary,high,1,22332.876,
22,Winter,145,park_ground2,park_ground2,16,16,256-color,primary,high,0.64,14999.279,
23,Spring; Summer (fallback),161,city_ground_1,city_ground,64,64,256-color,primary,high,0.56,21183.085,
23,Spring; Summer (fallback),161,city_road_1,city_road,64,64,256-color,primary,high,0.6,19703.862,
23,Autumn,163,city_ground_1,city_ground,64,64,256-color,primary,high,0.64,18644.109,
23,Autumn,163,city_road_1,city_road,64,64,256-color,primary,high,0.6,17342.184,
23,Winter,165,city_ground_1,city_ground,64,64,256-color,primary,high,0.64,18644.109,
23,Winter,165,city_road_1,city_road,64,64,256-color,primary,high,0.6,17342.184,
24,Spring; Summer (fallback); Winter (fallback),181,future_line_1,future_line,32,32,256-color,primary,high,0.28,2491.673,Large untextured base plane also present
24,Autumn,182,future_line_1,future_line,32,32,256-color,primary,high,0.24,2491.673,Large untextured base plane also present
25,Spring; Summer (fallback),189,sands_sea_1,sands_sea,32,32,16-color,primary,high,0.48,8950.307,
25,Spring; Summer (fallback),189,sands_wave_1,sands_wave,64,64,A3I5,primary,high,0.2,1797.661,
25,Spring; Summer (fallback),189,sands_shadow_2,sands_shadow,64,64,A5I3,primary,high,0.2,1678.448,
25,Spring; Summer (fallback),189,sands_sand_1,sands_sand,64,64,16-color,secondary,medium,0.24,1308.016,
25,Autumn,191,sands_sea_1,sands_sea,32,32,16-color,primary,high,0.48,8950.307,
25,Autumn,191,sands_wave_1,sands_wave,64,64,A3I5,primary,high,0.2,1797.661,
25,Autumn,191,sands_shadow_2,sands_shadow,64,64,A5I3,primary,high,0.2,1678.448,
25,Autumn,191,sands_sand_1,sands_sand,64,64,16-color,secondary,medium,0.24,1308.016,
25,Winter,192,sands_sea_1,sands_sea,32,32,16-color,primary,high,0.48,8950.307,
25,Winter,192,sands_wave_1,sands_wave,64,64,A3I5,primary,high,0.2,1797.661,
25,Winter,192,sands_shadow_2,sands_shadow,64,64,A5I3,primary,high,0.2,1678.448,
25,Winter,192,sands_sand_1,sands_sand,64,64,16-color,secondary,medium,0.24,1308.016,
26,Spring; Summer (fallback),205,wharf_ground_1,wharf_ground,32,32,256-color,primary,high,0.36,4492.033,
26,Autumn,207,wharf_ground_1,wharf_ground,32,32,256-color,primary,high,0.36,4492.033,
26,Winter,208,wharf_wave_1,wharf_wave,32,32,A5I3,primary,high,0.96,12887.902,
26,Winter,208,wharf_ground_1,wharf_ground,32,32,256-color,primary,high,0.32,6782.992,
27,Spring; Summer (fallback),221,park_ground_1,park_ground,32,32,256-color,primary,high,1,22332.876,
27,Spring; Summer (fallback),221,park_ground2_1,park_ground2,16,16,256-color,primary,high,0.64,14999.279,
27,Autumn,223,park_ground_1,park_ground,32,32,256-color,primary,high,1,22332.876,
27,Autumn,223,park_ground2_1,park_ground2,16,16,256-color,primary,high,0.6,14999.279,
27,Winter,224,park_ground_1,park_ground,32,32,256-color,primary,high,1,22332.876,
27,Winter,224,park_ground2_1,park_ground2,16,16,256-color,primary,high,0.6,14999.279,
28,Spring; Summer (fallback),237,magi_ground_1,magi_ground,32,32,256-color,primary,high,0.76,40542.478,
28,Autumn,239,magi_ground_1,magi_ground2,32,32,256-color,primary,high,0.4,19425.57,Large untextured base plane also present
28,Winter,240,magi_ground2_1,magi_ground2,32,32,256-color,primary,high,0.52,9672.556,
29,Spring; Summer (fallback),253,cmtry_ground_1,cmtry_ground,32,32,256-color,primary,high,0.64,5122.129,
29,Spring; Summer (fallback),253,cmtry_ground2_1,cmtry_ground2,32,32,256-color,secondary,medium,0.16,726.82,
29,Autumn,255,cmtry_ground_1,cmtry_ground,32,32,256-color,primary,high,0.64,5134.196,
29,Autumn,255,cmtry_ground2_1,cmtry_ground2,32,32,256-color,secondary,medium,0.16,714.598,
29,Winter,257,cmtry_ground_1,cmtry_ground,32,32,256-color,primary,high,0.64,5122.129,
29,Winter,257,cmtry_ground2_1,cmtry_ground2,32,32,256-color,secondary,medium,0.16,726.82,
30,Spring; Summer (fallback),273,fctry_floor2_1,fctry_floor2,32,32,16-color,primary,high,0.64,3645.988,
30,Spring; Summer (fallback),273,fctry_floor_1,fctry_floor,32,32,16-color,secondary,medium,0.48,2651.141,
30,Autumn,275,fctry_floor2_2,fctry_floor2,32,32,16-color,primary,high,0.68,3645.942,
30,Autumn,275,fctry_floor_1,fctry_floor,32,32,16-color,primary,high,0.52,2651.015,
30,Winter,277,fctry_floor2_1,fctry_floor2,32,32,16-color,primary,high,0.64,3645.988,
30,Winter,277,fctry_floor_1,fctry_floor,32,32,16-color,secondary,medium,0.48,2651.141,
31,Spring; Summer (fallback),293,room_ground_1,room_ground,32,32,256-color,primary,high,0.24,1824.25,
31,Autumn,295,room_ground_1,room_ground,32,32,256-color,primary,high,0.24,1824.283,
31,Winter,297,room_ground_1,room_ground,32,32,256-color,primary,high,0.24,1823.465,
32,Spring; Summer (fallback); Winter (fallback),313,city_ground_1,city_ground,64,64,256-color,primary,high,0.64,18643.692,
32,Spring; Summer (fallback); Winter (fallback),313,city_road_1,city_road,64,64,256-color,primary,high,0.6,17342.167,
32,Autumn,315,city_ground_1,city_ground,64,64,256-color,primary,high,0.6,19453.394,
32,Autumn,315,city_road_1,city_road,64,64,256-color,primary,high,0.6,18095.343,
33,Spring; Summer (fallback); Winter (fallback),325,sky_cloud_1,sky_cloud,64,64,A3I5,primary,high,1,33479.46,Large untextured base plane also present
